Country,ISO Country code,Continent,Population,Surface Area (Km2),GINI index,happy planet index,human development index,sustainable economic development assessment (SEDA),GDP growth(annual %),Economic Growth,health expenditure % of GDP,health expenditure per person,infant mortality,"maternal mortality per 100,000 live births",Education as % of GDP,% of primary school aged kids out of school,political rights score,civil liberties score,political stability & absence of violence,government effectiveness,regulatory quality,rule of law,control of corruption,judicial effectiveness score,government integrity score,overall economic freedom score,financial freedom score,government expenditure (% of GDP),share of electricity from renewables generation,% of seats held by women in national parliaments,Military Spending as % of GDP,Access to electricity (% of population) ,Adults (ages 15-49) newly infected with HIV ,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total) ","Cause of death, by injury (% of total) ","Cause of death, by non-communicable diseases (% of total) ",CO2 emissions (metric tons per capita) ,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49) ",Young people (ages 15-24) newly infected with HIV ,"Death rate, crude (per 1,000 people) ",Domestic general government health expenditure (% of GDP) ,Electric power consumption (kWh per capita) ,"Employment to population ratio, 15+, total (%) (modeled ILO estimate) ",GDP (current US$) ,GDP per capita (current US$) ,GNI (current US$) ,GNI per capita (current LCU) ,"Government expenditure on education, total (% of government expenditure) ",Ease of doing business score (0 = lowest performance to 100 = best performance) ,Human capital index (HCI) (scale 0-1) ,"Incidence of HIV, all (per 1,000 uninfected population) ","Incidence of tuberculosis (per 100,000 people) ","Inflation, GDP deflator (annual %) ","Life expectancy at birth, total (years) ",Merchandise trade (% of GDP) ,Military expenditure (% of GDP) ,Military expenditure (% of general government expenditure) ,"Mortality rate, infant (per 1,000 live births) ","Mortality rate, adult, male (per 1,000 male adults) ","Mortality rate, adult, female (per 1,000 female adults) ","Mortality rate, under-5 (per 1,000 live births) ","Mortality caused by road traffic injury (per 100,000 population) ","Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population) ","Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population) ","Net trade in goods (BoP, current US$) ","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) ","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total) ",Population density (people per sq. km of land area) ,"Prevalence of HIV, total (% of population ages 15-49) ",Prevalence of severe food insecurity in the population (%) ,Prevalence of undernourishment (% of population) ,Women Business and the Law Index Score (scale 1-100) ,"Unemployment, total (% of total labor force) (modeled ILO estimate) ",Trade (% of GDP) ,Total greenhouse gas emissions (% change from 1990) ,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) ",Tax revenue (% of GDP) ,Tax payments (number) ,Start-up procedures to register a business (number) ,"School enrollment, secondary (% gross) ",Rural population (% of total population) ,Renewable electricity output (% of total electricity output) ,Renewable energy consumption (% of total final energy consumption) ,Renewable internal freshwater resources per capita (cubic meters) ,"Renewable internal freshwater resources, total (billion cubic meters) ",UHC service coverage index ,Tuberculosis treatment success rate (% of new cases) ,"Tuberculosis case detection rate (%, all forms) "
Germany,DEU,Europe,83196078,357590,27,52.7,0.942,79.6,2.89,2.89,4.98,5440.3,47.2,7,-,-,39,55,0.76,1.3,1.6,1.609,1.81,95.3,89.4,76.1,70,44.2,0.486,35,0.0134,100,2100,4.759985416,4.641679278,90.59833276,7.911621016,0.06,1000,11.9,9.09177876,7035.482975,59.19200134,4.26E+12,51203.55447,4.41E+12,44827.81027,11.37255955,79.71004,0.751162469,-,5,3.057600698,80.94146341,71.64569561,1.337384336,2.515903658,3.1,-,-,3.7,3.8,16,0.6,2.18E+11,12.02876736,89.17435643,232.6577309,-,1.1,2.5,97.5,3.535000086,80.39830506,-24.23084242,12.91,11.45888366,9,9,97.10997772,22.456,29.23177012,17.17,1287.714355,107,86,74,91
Ghana,GHA,Africa,32833031,238530,42.3,39.5,0.632,40.2,5.36,5.36,3.89,75.3,-,308,-,5.98,35,45,0.07,-0.1,-0.2,-0.081,-0.11,57,45.4,59.8,60,26.5,0.385,15,0.0049,85.87355042,13000,45.23819591,9.375667066,45.38613919,0.635740643,0.86,4800,7.448,1.3756671,339.1927426,65.1989975,77594279055,2363.299296,75637343975,13631.1386,-,59.96017,0.450056404,0.57,136,11.18722679,64.114,36.54393126,0.492100595,1.371131061,33,281.151,210.16,44.7,25.7,203.8,18.8,2042966219,34.7135141,100,137.6473861,1.7,5.6,4.1,75,4.703999996,38.51686166,265.4252047,2.75,12.24424167,36,8,77.6725769,42.015,50.89200244,41.8,961.2245811,30.3,45,86,30
Greece,GRC,Europe,10641221,131960,36.7,48.8,0.887,64.1,8.34,8.34,3.6,1500.6,14.5,3,-,0.89,37,50,0.15,0.4,0.4,0.35,0.21,69.9,52.3,61.5,50,51.3,0.436,22,0.0387,100,1000,12.85460659,3.909227141,83.23616725,5.59618907,0.14,100,12.2,3.77202368,5062.606422,43.0359993,2.15E+11,20192.5963,2.14E+11,16998.13959,7.503829956,68.42391,0.690006495,0.07,4.1,1.292199149,81.08780488,57.25451604,3.86736963,6.53186872,3.6,93.517,43.464,4.1,8.3,27.6,0.1,-21135301378,16.21826638,100,80.63974689,0.2,1.6,2.5,100,14.79500008,71.67084493,4.047346283,10.18,26.94510259,8,4,105.5473099,19.962,28.65578326,18.51,5409.649434,58,78,-,46
Guatemala,GTM,North America,17109746,108890,53,57.9,0.627,42.5,7.53,7.53,3.3,271,-,95,3.3,10.55,21,30,-0.39,-0.8,-0.3,-1.093,-1.17,36.9,26.5,63.2,50,12.5,0.754,19,0.0044,97.05526733,1000,22.30970346,16.1241799,61.56611646,1.162970924,0.09,500,5.337,2.38681698,601.1897311,56.0530014,85985752107,5025.542291,84076413852,38006.44471,23.75538063,62.59562,0.461270094,0.07,27,2.751800976,71.797,46.93800893,0.444567515,2.955731641,20.1,239.504,134.551,23.6,22.9,73.8,6.3,-6314179850,24.07064893,100,157.1287171,0.2,20.7,16,70.625,3.572000027,41.15863912,111.4086497,2.45,10.56094993,8,6,50.43603897,47.755,60.39066739,62.92,6576.718201,109.2,57,89,65
Guinea,GIN,Africa,13531906,245860,39.4,38.1,0.465,28.3,3.12,3.12,2.2,43,34.7,576,2.2,14.46,10,24,-0.97,-0.9,-1,-1.131,-1,27.8,25.6,54.2,40,25.4,0.636,17,0.0148,44.66867828,4700,57.96012489,8.76659121,33.27328387,0.306735631,0.76,2500,9.847,0.89733303,-,58.18099976,16091817842,1189.175999,14217021446,10257312.87,12.40536022,49.42922,0.370942473,0.49,175,11.5,59.327,90.27569254,1.484541117,8.105508513,62,288.494,253.585,95.6,29.7,243.3,44.6,5203770000,26.0624902,100,55.03907102,1.5,48.9,-,73.75,6.342000008,132.3825124,55.51318586,1.11,-,33,6,-,62.736,78.75156502,65.44,17549.93714,226,37,91,79
Guinea-Bissau,GNB,Africa,2060721,36130,-,-,0.483,-,3.8,3.8,2.71,62.6,58.3,667,2.71,-,17,26,-0.28,-1.4,-1.3,-1.438,-1.3,14,15.9,46,30,21.9,0.024,14,0.0178,33.33546829,1400,57.6206587,9.206102873,33.17323993,0.167473846,1.56,500,8.574,0.53241199,-,66.03700256,1638517533,795.1185693,1640828020,441539.3985,-,43.23319,-,1.12,361,6.218315512,59.999,34.78754352,1.782638659,7.08650227,51.4,353.359,261.521,76.8,32.2,214.7,35.3,-93481598.89,29.77470228,100,57.03628564,3.1,29.2,-,42.5,6.758999825,43.63584037,366.888499,5.38,-,46,9,-,55.383,0,86.24,8119.943749,16,37,75,33
Guyana,GUY,South America,804567,214970,44.6,-,0.714,42.8,19.93,19.93,4.45,325.9,4.1,169,-,-,30,43,-0.14,-0.2,-0.5,-0.398,-0.17,47.4,41.5,59.5,30,31.2,0.024,36,0.0096,92.5405426,500,17.411326,12.94066669,69.64800538,3.568061597,1.02,100,8.026,2.93101764,-,43.61899948,8044498801,9998.544311,7654530395,1983637.891,-,55.49196,0.495226473,0.62,83,22.46543503,68.486,108.5462279,0.956516235,3.575187779,23.8,284.375,167.218,28.4,22.3,107.8,3.6,635489440.8,22.37557463,99.98817732,3.742694329,1.4,-,4.9,86.875,16.42499924,-,-63.30733113,6.89,-,35,7,-,73.103,0,11.35,301720.3065,241,74,67,62
Haiti,HTI,North America,11447569,27750,60.8,38.2,0.535,24.2,-1.8,-1.8,1.63,57,3.4,480,-,-,11,22,-1.1,-2.2,-1.3,-1.251,-1.42,18.6,14.3,50,30,21.9,0.136,-,0.0019,46.92553329,3500,24.65623326,10.6268316,64.71693516,0.297479358,0.58,1300,8.176,0.52095848,39.56691514,54.52099991,20944392615,1829.593044,20967472007,148597.5795,12.86167049,40.72493,0.446564913,0.38,159,19.34195125,64.052,20.01490364,0.188540702,1.123201671,46.7,282.028,179.648,60.5,18.8,184.3,23.8,-2878972463,15.01982438,100,412.525009,1.8,45.2,47.2,61.25,15.72599983,37.41389173,64.93352333,2.73,-,47,12,-,42.036,7.996146435,76.4,1165.456051,13.007,47,82,57
Honduras,HND,North America,10278345,112490,47.1,57.7,0.621,41.9,12.53,12.53,6.44,187.6,45.6,65,6.44,-,21,26,-0.61,-0.8,-0.5,-1.072,-1.07,29,25.4,59.5,60,27.9,0.575,27,0.0161,93.20671082,1000,10.68342369,17.88531912,71.43125651,1.026225098,0.12,100,4.945,2.85265684,608.1390944,55.3030014,28488668302,2771.717461,26171826271,61153.90172,20.11774063,56.26791,0.481023133,0.08,33,3.800923573,71.462,88.65279252,1.605880702,5.710355584,13.9,185.81,124.302,16.2,16.1,60.7,3.6,-3820203077,20.62885065,99.98352171,91.37118855,0.2,17.9,15.3,75,8.512999535,85.61941811,49.15453646,3.76,-,59,11,-,41.018,42.2755159,45.96,9103.479937,90.66,63,87,62
Hungary,HUN,Europe,9709891,93030,28.2,45.4,0.846,66.1,7.1,7.1,4.62,1062.4,17.3,12,-,2.47,26,43,0.86,0.6,0.5,0.531,0.04,62.2,44.4,66.9,70,48.5,0.179,13,0.0164,100,-,1.976896912,4.137190639,93.88591479,4.74663103,-,-,14.5,4.31688643,3965.958233,56.74599838,1.82E+11,18728.12189,1.76E+11,5498751.634,9.271349907,73.41584,0.683087289,-,3.7,6.302723394,75.61707317,156.1160779,1.636065872,3.209910913,3.4,164.516,78.363,4,7.7,38.8,0.2,-1477399000,15.92604819,100,104.3737612,-,2.1,2.5,96.875,4.116000175,155.5283775,-35.43110871,11.35,22.53468112,11,6,103.0485077,27.755,10.58269066,13.64,614.0531592,6,73,66,88
Iceland,ISL,Europe,372520,103000,28,48,0.959,83.7,3.7,3.7,7.56,6275,2.9,4,-,5.47,37,57,1.37,1.6,1.5,1.755,1.79,94.8,85.3,77,70,43.1,1,48,-,100,100,4.968023006,5.560911614,89.47106595,4.548442258,0.07,100,6.3,7.16049767,53832.47909,62.49900055,25602419210,68727.63666,24377259095,8309997.711,17.42268944,78.96154,0.745281875,0.03,2.9,5.996621196,83.06585366,53.91677984,-,-,1.5,-,-,1.9,2,8.7,0.1,-633745895.9,6.481147263,10.28521579,3.616699029,0.1,1.3,2.5,100,5.401000023,69.45977112,-74.65718811,9.12,22.97549395,21,5,114.358429,6.056,99.97872227,81.07,471484.8723,170,87,100,87
India,IND,Asia,1407563842,3287260,35.2,36.4,0.633,40,8.95,8.95,4.47,63.7,-,145,4.47,5.37,33,33,-0.62,0.3,-0.1,-0.081,-0.29,51.5,42.4,53.9,40,27.3,0.217,14,0.0266,99,-,24.16618437,9.900612161,65.93320195,1.775922673,-,-,7.35,0.9882924,797.349232,42.84700012,3.18E+12,2256.590409,3.13E+12,165508.2679,16.72864914,71.04511,0.493510902,0.05,210,9.966416661,70.15,30.48627347,2.657790031,8.271418896,27,202.334,144.496,32.6,15.6,184.3,18.6,-95449862090,90.87321047,100,428.1875611,0.2,-,16.3,74.375,5.978000164,37.80535358,116.4448552,5.54,12.01742775,10.94,10,75.48119354,64.607,15.34305035,32.93,1045.468442,1446,61,85,67
Indonesia,IDN,Asia,273753191,1916906.77,36.8,49.6,0.705,46.4,3.69,3.69,2.84,120.1,42.6,177,2.84,-,30,29,-0.51,0.4,0.3,-0.225,-0.43,43.2,39.9,64.4,60,17.6,0.177,21,0.007,96.94999695,23000,18.92565955,4.74791485,76.32642569,2.299255915,0.16,13000,8.964,1.42157829,808.4189721,64.71399689,1.19E+12,4332.709281,1.15E+12,60339955.35,17.34799957,69.57879,0.540038466,0.1,354,6.015274347,68.808,35.90704971,0.695925939,3.879316176,19.5,219.64,161.38,23,11.3,112.4,7.1,28301275850,16.5026533,95.56714726,142.8098618,0.3,0.7,6.5,64.375,4.413000107,32.97559557,-33.00645608,0.57,10.23014302,26,11,-,42.71,10.65115563,19.09,7488.235214,2018.7,59,86,45
Iran,IRN,Asia,87923432,1745150,44.5,43.6,0.774,48,1.76,1.76,3.59,470.4,21.3,16,3.59,0.14,4,10,-1.62,-0.9,-1.6,-0.947,-1.1,29.4,19.8,42.4,10,17.2,0.094,6,0.023,100,1900,8.089179176,10.60366444,81.30715499,7.277950876,0.04,500,5.567,3.32201433,2927.790204,36.58800125,3.60E+11,4091.209187,3.61E+11,761990952,21.24616051,58.54658,0.593404472,0.03,12,56.31965464,74.832,33.533386,2.299160241,12.95550689,11.1,154.124,85.824,12.9,21.5,50.9,1,-,38.97876028,100,50.38159012,0.1,7.7,4.1,31.25,11.46100044,43.81016459,-,1.03,-,20,10,89.37502289,23.655,5.104887878,0.98,1484.447347,128.5,77,84,60
Iraq,IRQ,Asia,43533592,435052,-,45.3,0.686,37,2.78,2.78,-,253.3,1.5,79,-,-,16,13,-2.4,-1.3,-1.1,-1.732,-1.25,-,-,-,-,42.7,0.028,29,0.0228,100,-,15.29683139,17.81039026,66.8927789,4.199836721,-,-,5.239,2.2101748,1243.846759,35.62400055,2.08E+11,4775.377454,2.06E+11,6855543.735,-,44.70443,0.407643288,-,24,33.44781553,69.123,73.36355226,2.282956711,5.368369908,21.3,206.793,143.392,25.2,27.3,75.1,3,5901700000,61.63623571,100,100.0652612,-,-,15.9,45,14.19200039,56.65488154,55.73750806,0.39,1.984007163,15,9,-,28.881,3.731754737,0.43,846.8965092,35.2,55,94,55
Ireland,IRL,Europe,5033165,70280,31.3,51.1,0.945,80.3,13.48,13.48,3.39,5428.6,11.1,5,-,0.14,39,58,0.86,1.5,1.6,1.53,1.65,93,80.7,82,70,31.9,0.424,23,0.0026,100,500,5.68459569,3.909534252,90.40586873,7.245143221,0.13,100,6.4,4.98130083,5672.064134,58.31499863,5.04E+11,100172.0793,3.83E+11,64269.86578,13.61303043,79.57614,0.792599022,0.07,4.8,0.657643226,82.20487805,61.4489667,0.264791248,0.984127276,2.6,-,-,3,3.1,11.9,0.1,1.62E+11,8.208576735,0.274091679,71.61589357,0.3,3.2,2.5,100,6.632999897,247.7657633,-4.803331492,12.88,18.0976324,9,3,135.2246704,36.088,27.96540802,12.34,9930.406093,49,83,6,87
Israel,ISR,Asia,9364000,22070,42.8,48.2,0.919,66.5,8.19,8.19,6.11,3456.4,2.5,3,-,0.5,34,42,-1.06,1.3,1.2,0.942,0.86,85,65.2,68,70,40.1,0.063,28,0.0517,100,-,10.31801178,4.23548509,85.44650343,6.919593718,-,-,5.3,4.83341503,6600.89828,59.09799957,4.89E+11,52170.71186,4.81E+11,165982.0664,15.74192047,76.67572,0.733995318,-,2.8,2.128294717,82.7,31.17824431,5.171624263,12.1376624,2.9,-,-,3.6,3.9,15.4,0.2,-11675200000,21.38110224,100,424.2863616,-,2,2.5,80.625,5.045000076,50.88337705,112.1834291,4.21,22.69409183,6,4,104.9399185,7.326,1.89020023,4.47,82.83631544,0.75,84,81,87
Italy,ITA,Europe,59109668,302068,31.9,50.7,0.895,69.1,6.64,6.64,4.26,2905.5,11.4,2,-,3.5,36,54,0.58,0.4,0.5,0.269,0.54,78.6,57.3,65.4,50,50.3,0.442,36,0.0152,100,1000,5.504788046,3.856706243,90.63850586,5.311315442,0.04,100,12.6,6.40774679,5002.40668,43.67900085,2.11E+12,35657.49756,2.15E+12,30688.37572,8.448579788,72.85055,0.727819681,0.02,4.9,0.538692423,82.34390244,55.40667196,1.522730137,2.641425592,2.5,-,-,2.9,5.3,15,0.1,78587904914,16.75071194,94.777214,195.6833163,0.2,1.9,2.5,97.5,9.833999634,55.28628621,-5.136152375,7.84,24.2381807,14,7,100.9113617,28.654,38.67922518,17.27,3055.46305,182.5,83,-,82
Jamaica,JAM,North America,2827695,10990,35,57.9,0.709,49.7,4.6,4.6,6.03,327.4,12.9,80,6.03,33.3,34,46,0.22,0.4,0.2,-0.168,-0.03,70.6,49,67.4,50,27.6,0.119,29,0.0141,100,1200,8.973658908,11.72928029,79.29706359,2.981761622,0.76,500,7.583,3.97862124,1084.917705,57.1590004,14657586937,5183.581305,14238786896,759299.7477,17.31398964,69.67997,0.534977913,0.5,3.3,7.427423702,71.869,50.60178071,1.412720323,4.747752365,11.4,195.289,127.341,13.3,15.1,25.4,0.6,-2948517815,13.40415053,100,257.2970883,1.3,23.1,6.9,68.125,9.18200016,65.85976623,66.04742431,4.22,26.78106657,11,2,-,43.348,10.26200873,9.09,3846.436795,10.823,70,62,61
Japan,JPN,Asia,125681593,377974,37.9,47.1,0.925,75.2,1.62,1.62,3.08,4360.5,8.9,5,-,-,40,56,1.03,1.4,1.4,1.579,1.57,95.3,81.4,69.9,60,39.1,0.258,10,0.0107,100,-,10.2966194,4.912859576,84.79052481,8.540980205,-,-,11.1,9.00933933,7819.714636,60.1609993,4.94E+12,39312.66037,5.13E+12,4479279.635,8.182955742,77.99983,0.804714262,-,11,-0.875626753,84.61560976,30.86512291,1.073515195,2.465679463,1.8,-,-,2.5,3.6,11.9,0.2,26646917878,11.70477819,76.76150823,332.5138581,-,0.9,3.2,78.75,2.799000025,31.35871163,13.35065926,7.96,-,19,8,-,8.133,15.98478072,7.69,3395.639367,430,85,65,87
Jordan,JOR,Asia,11148278,89318,39.7,43.9,0.72,48.7,2.21,2.21,2.99,334,1.8,46,-,20.08,11,22,-0.28,0.2,0.2,0.213,0.05,42.6,49.5,60.1,60,32,0.155,12,0.0502,99.90000153,-,10.01022905,10.38370605,79.60606586,2.302152439,-,-,3.475,3.8803432,1921.107652,30.79000092,45744271659,4103.258966,45498497011,2897.661224,9.859749794,68.97453,0.553174376,-,4.2,1.278663445,75.184,67.70246607,5.018955283,14.76263253,12.9,115.343,72.15,15,17,51.2,0.6,-7385774648,33.00608118,100,124.8155803,-,17,16.9,46.875,19.25200081,65.33940474,134.4844571,0.69,14.7288481,9,7,67.81723022,8.374,0.967708005,8.17,63.7461639,0.682,60,86,47
Kazakhstan,KAZ,Asia,19000988,2724900,26.3,38.6,0.811,57.7,4,4,2.86,273,31.2,10,-,9.61,5,18,-0.25,0.1,0.1,-0.487,-0.24,34.5,37.9,64.4,50,22.2,0.111,27,0.0087,100,3200,5.124694704,8.199853648,86.67545212,11.45693783,0.35,500,8.6,1.67075253,5600.208465,65.68399811,1.97E+11,10373.78979,1.73E+11,3876079.265,14.10953045,79.55915,0.628506422,0.18,74,13.93007505,71.37,51.64366864,0.866368645,3.907810889,8.9,277.164,119.468,10,12.7,62.7,0.4,9249455577,13.82428836,87.41423053,6.973095526,0.3,0,2.5,69.375,4.900000095,57.02644237,-1.554896544,4.76,11.71779959,10,5,103.753273,42.179,8.874027877,1.7,3475.809473,64.35,76,88,68
Kenya,KEN,Africa,53005614,580370,48.5,45.2,0.575,35.4,7.52,7.52,4.8,83.4,15.7,342,4.8,-,19,29,-1.09,-0.3,-0.4,-0.39,-0.71,39,30.9,52.6,50,27.4,0.885,22,0.0112,71.4379425,28000,48.28991208,10.85360888,40.85647922,0.437279031,1.17,12000,7.456,2.11127639,167.4380987,69.03299713,1.10E+11,2081.799855,1.09E+11,224818.7824,18.5200386,73.21648,0.546752512,0.73,251,5.004546443,62.675,23.83207613,1.119109123,4.153656248,31.2,389.647,298.533,41.9,28.3,78.1,51.2,-8338400862,28.57837427,100,91.33072695,4,26.1,26.9,80.625,5.742000103,27.23389922,39.43948827,2.78,14.36127892,24,7,-,71.507,87.51424723,68.08,406.2691052,20.7,56,85,57
Korea (Dem. People’s Rep.),PRK,Asia,25971909,120540,-,-,-,-,-,-,12.39,-,2.7,89,-,-,0,3,-0.45,-1.6,-2.3,-1.626,-1.61,6.5,3.8,3,0,-,0.076,18,-,52.31354523,-,12.79434412,6.805653847,80.40000068,2.175850956,-,-,9.078,-,600.0525907,79.40399933,-,-,-,-,-,-,-,-,513,-,73.274,-,-,-,11.6,180.708,107.911,16.5,24.2,207.2,1.4,-,32.00745162,100,215.4629915,-,-,41.6,-,2.592000008,-,-32.57955025,3.8,-,-,-,-,37.358,72.79609813,11.31,2601.392071,67,68,87,66
Korea (Rep.),KOR,Asia,51744876,100410,35.7,39.8,0.925,-,4.02,4.02,-,2624.5,7.6,11,-,0.01,33,50,0.66,1.4,1.1,1.127,0.76,77.1,69.2,74.6,60,32.3,0.85,19,0.0278,100,-,12.82878715,9.260797206,77.91041861,11.79932538,-,-,5.9,4.8600049,10496.51367,60.67100143,1.81E+12,34997.78164,1.83E+12,40481714.56,13.83082008,84.00083,0.798776269,-,44,2.497675721,83.42682927,69.54851965,2.777019633,10.47049185,2.6,72.497,31.797,3,8.6,20.5,1.8,80604800000,25.03942539,100,515.3358829,-,0.7,2.5,85,3.532000065,69.03404509,122.6245256,9.7,15.53638373,12,3,96.03928375,18.586,1.894666312,3.36,1252.781281,64.85,87,81,94
Kosovo,XKX,Europe,1786038,10887,23.2,-,-,-,9.13,9.13,4.46,-,45.7,-,-,-,25,31,-0.12,-0.2,-0.3,-0.275,-0.32,31,37.5,60.1,30,27.1,-,-,0.0094,-,-,-,-,-,-,-,-,7.505,-,2818.337231,-,9412034299,5269.783901,9591067416,4540.355524,-,73.18473,0.567331731,-,-,6.115582547,76.567,-,0.939858934,2.804916667,-,106.861,55.825,-,-,-,-,-2949887422,-,-,164.052356,-,-,-,91.875,-,75.60801713,-,-,-,10,3,-,-,2.287955548,26.1,-,-,-,-,-
Kuwait,KWT,Asia,4250114,17820,-,33.3,0.831,65.7,-8.86,-,6.55,1758.7,13.7,12,6.55,-,14,23,0.3,0,0.2,0.261,-0.03,42,43.8,58.3,60,51.5,0.001,2,0.0669,100,-,7.085531171,13.54519571,79.36927174,20.86194896,-,-,3.254,4.77939463,15297.81071,67.8730011,-,-,-,-,12.82629967,67.40473,0.562588036,-,20,-,76.92,-,6.69062243,11.98466799,7.6,84.858,43.207,8.9,15.4,103.8,0.1,15412364037,60.74515954,100,238.5024691,-,4.9,2.7,35,3.713999987,-,-,0.003,-,12,7,-,0,0,0.06,0,0,70,82,87
Kyrgyzstan,KGZ,Asia,6691800,199950,33.4,53.7,0.692,45.4,3.61,3.61,5.55,62.1,22,60,5.37,0.12,4,23,-0.43,-0.7,-0.6,-1.074,-1.12,11.8,28.8,55.8,50,37.3,0.924,20,0.0167,99.98104858,1000,10.44143105,7.972389036,81.58617806,1.556643256,0.19,200,6.1,2.31117272,1941.221832,51.35400009,8543423503,1276.700365,7847822799,99262.6797,16.47274971,67.82089,0.596617103,0.1,130,15.96865492,71.8,84.61479169,1.669213783,4.3775461,15.7,271.377,114.576,17.5,12.7,110.7,0.8,-1439574039,22.73776806,97.43255692,33.46736684,0.2,1,5.3,76.875,9.104000092,83.47131195,-58.55342581,6.26,17.99885701,26,4,98.08365631,62.854,85.18802763,27.88,7578.761501,48.93,70,82,54
Laos,LAO,Asia,7425057,236800,36.7,42.8,0.607,37.8,2.53,2.53,2.23,68.2,6,185,2.23,8.24,2,11,0.73,-0.6,-0.9,-0.642,-1.04,11.1,20.4,49.2,20,26.3,0.644,22,-,100,1000,25.64050373,9.016548683,65.34294806,2.594268107,0.19,500,6.366,0.9597249,-,75.47299957,18827148510,2535.623432,17689912749,23104911.43,11.62313557,50.82456,0.456665337,0.11,143,3.713448371,68.497,74.20135871,-,-,35.3,194.231,139.036,44.1,17.9,188.5,11.3,744530807.8,25.10953834,100,31.35581503,0.3,8.3,5.1,88.125,1.258000016,-,436.761576,10.72,-,35,10,62.76162338,63.061,86.36999958,48.43,26400.24969,190.4,50,89,58
Latvia,LVA,Europe,1884490,64590,34.5,34.1,0.863,66.1,4.48,4.48,4.24,1166.8,-,19,-,1.18,37,51,0.69,0.9,1.2,0.981,0.75,75.1,61.1,74.8,60,37,0.666,29,0.0228,100,500,3.040765024,4.965626835,91.99360983,3.955435862,0.62,100,15.2,3.98357701,3507.404521,55.5,39853501580,21148.16294,39119352197,17551.2648,11.7610302,80.28054,0.706581414,0.29,16,6.881441804,75.38780488,113.5910226,2.280418981,4.761256045,3.4,-,-,4,8.1,41.3,0.1,-1765557358,13.42645752,89.0140462,29.17618826,0.7,0.7,2.5,100,7.599999905,118.831064,-58.58376876,12.77,22.82673718,7,4,105.9562836,31.579,50.17169709,41.52,8851.397883,16.94,72,-,87
Lebanon,LBN,Asia,5592631,10450,-,39,0.706,44.8,-10.52,-10.52,2.52,663.1,58.1,29,-,-,13,29,-1.49,-1.3,-0.9,-1.074,-1.23,27.4,22.8,47.3,50,26.9,0.039,5,-,100,200,5.553377481,5.895493322,88.55113038,4.83404537,0.06,100,6.253,4.23522329,2583.378464,36.31900024,23131940281,4136.146347,22231940281,46728714.62,8.143950462,54.3316,0.515125513,0.03,9.7,150.000705,77.804,79.74687716,-,-,6,89.717,60.448,7,16.4,51.4,0.8,-6584212307,30.62111051,100,535.18,0.1,10.2,10.9,58.75,14.48799992,50.12980429,-,1.71,15.32540546,20,8,-,10.907,2.603826919,5.46,830.1759264,4.8,72,81,87
Lesotho,LSO,Africa,2281454,30360,63.2,27.3,0.514,29.5,1.02,1.02,8.7,124.2,7.7,544,8.7,-,27,36,-0.22,-0.9,-0.7,-0.41,-0.32,44.1,42.8,48.1,40,50.4,1,23,0.0129,47.35273743,6300,42.18825423,12.73146078,45.08028614,0.345958255,8.1,2600,12.858,4.90647459,-,47.92599869,2496134680,1094.098185,2843321266,18418.33848,13.13586044,59.4294,0.400392592,4.76,614,-0.884113276,54.693,124.7929459,1.287187495,3.036387841,69.9,504.362,393.666,89.5,31.9,177.6,44.4,-713497997.7,28.02865352,100,75.14670619,20.9,30.9,34.7,78.125,24.59799957,127.6121389,84.48044733,4.59,31.84951268,32,7,-,70.52,100,39.47,2349.820416,5.23,48,76,32
Liberia,LBR,Africa,5193416,111370,32,46,0.481,30.6,4,4,2.69,52.6,9.5,661,2.69,-,27,33,-0.24,-1.4,-1,-0.926,-0.92,23.4,25.1,47.9,20,36.8,0.013,11,0.0095,27.53470993,-,58.43149773,9.913440237,31.65506225,0.236696398,-,-,8.753,1.36336625,-,71.66999817,3509000000,675.6631858,3297000000,634.8422695,13.71934986,43.22747,0.319014221,-,308,9.945623531,60.948,67.17013394,0.951294573,1.36128876,58.1,303.559,258.52,78.3,38.9,170.2,41.5,-,17.98411246,100,46.63209123,1.1,37.3,38.3,81.25,4.09499979,-,61.70613829,6.12,-,33,5,39.69739914,47.427,0,87.24,40118.03528,200,42,76,46
Libya,LBY,Africa,6735277,1759540,-,42.7,0.718,-,31.37,31.37,-,-,22,72,-,-,1,8,-2.37,-1.7,-2,-1.784,-1.57,-,-,-,-,92.9,0,16,-,69.70735168,500,10.39285333,14.55682749,75.05032133,8.646557823,0.1,100,5.598,-,1889.545086,38.26100159,42817472975,6357.19555,43169797205,28935.07312,-,32.68552,-,0.07,59,110.4000707,72.472,112.0056759,-,-,9.5,189.773,118.301,11.1,21.3,71.9,0.6,163500000,54.25468179,100,3.827862396,0.2,20.7,-,50,19.58399963,-,34.47445163,0.019,-,19,10,-,19.006,0,2.8,106.5596929,0.7,60,69,49
